transaction_id,message_id,date,sender_name,account,account_holder,bank_code,direction,amount,currency,category_label,action,objects,roles,locations,time_period,counterparty,order_ref,content
txn_00034,8037641240861,2026-07-05,Minh Tuấn,Đức.tcb,Đức,tcb,thu,210000,VND,Tạm ứng công tác,hoan_ung,cong_tac,,Hải Phòng,,,,hoàn ứng tiền dư công tác Hải Phòng
txn_00035,8037641242009,2026-07-05,Bảo Trâm,Nam.vcb,Nam,vcb,thu,13120000,VND,Khách hàng thanh toán,thu,,khach_hang,Ninh Hiệp,,,,thu tiền khách sỉ chợ Ninh Hiệp còn nợ kỳ trước
txn_00036,8037641246671,2026-07-05,Khánh Đức,Xuân.svl,Xuân,svl,chi,1690000,VND,Ship/Vận chuyển,chi,ship,,Hà Nội,,,,chi phí vận chuyển hàng về kho Hà Nội
txn_00037,8037641253304,2026-07-06,Quốc Bảo,Bảo.msb,Bảo,msb,chi,5360000,VND,Marketing/Quảng cáo,thanh_toan,quang_cao,,,tháng 7,,,thanh toán tiền quảng cáo Facebook tháng 7
txn_00038,8037641254420,2026-07-06,Minh Tuấn,Tuấn.bidv,Tuấn,bidv,thu,4430000,VND,Khách hàng thanh toán,thanh_toan,,,,,Dũng,4154,a Dũng vận tải chuyển khoản thanh toán đợt 2 đơn #4154
txn_00039,8037641258540,2026-07-06,Quốc Bảo,Linh.vib,Linh,vib,thu,750000,VND,Khách hàng thanh toán,thanh_toan,sua_chua,,,,Tùng,,a Tùng thanh toán tiền bảo hành đệm
txn_00040,8037641261743,2026-07-06,Bảo Trâm,Bảo.msb,Bảo,msb,thu,8960000,VND,Khách hàng thanh toán,thu,,khach_hang,Ninh Hiệp,,,,thu tiền khách sỉ chợ Ninh Hiệp còn nợ kỳ trước
txn_00041,8037641264527,2026-07-06,Khánh Đức,Lan.mb,Lan,mb,chi,1840000,VND,Chi phí văn phòng,thanh_toan,dien_nuoc,,,tháng 7,,,thanh toán tiền điện nước văn phòng tháng 7
txn_00042,8037641267173,2026-07-07,Văn Nam,Xuân.svl,Xuân,svl,chi,1170000,VND,Khách hàng thanh toán,chi,sua_chua,khach_hang,,,,,chi phí sửa chữa máy móc bảo hành cho khách
txn_00043,8037641271400,2026-07-07,Bảo Trâm,Xuân.svl,Xuân,svl,chi,6350000,VND,Lương/Ứng lương,chi,luong,nhan_vien,,tháng 7,,,chi lương nhân viên giao hàng tháng 7
txn_00044,8037641278822,2026-07-07,Thị Lan,Lan.mb,Lan,mb,thu,410000,VND,Khách hàng thanh toán,dat_coc,don_hang,khach_hang,,,,,thu tiền đặt cọc khách lẻ mua đệm
txn_00045,8037641285091,2026-07-07,Xuân Svl,Mai.stb,Mai,stb,chi,2140000,VND,Vật tư/Sửa chữa,mua,vat_tu;sua_chua,,,,,,mua vật tư sửa chữa máy nén khí
txn_00046,8037641292258,2026-07-08,Khánh Đức,Linh.vib,Linh,vib,chi,9420000,VND,Quỹ nội bộ,chuyen,quy,,,,,,chuyển quỹ tiền mặt về tài khoản công ty
txn_00047,8037641301118,2026-07-08,Xuân Svl,Xuân.svl,Xuân,svl,thu,410000,VND,Khách hàng thanh toán,dat_coc,don_hang,khach_hang,,,,,thu tiền đặt cọc khách lẻ mua đệm
txn_00048,8037641304278,2026-07-08,Ngọc Mai,Trâm.tpb,Trâm,tpb,thu,60000,VND,Thưởng/Phạt,thu,phat,,Hưng Yên,tháng 7,Đạt Hưng Yên,,thu tiền phạt đi muộn tháng 7 của a Đạt Hưng Yên
txn_00049,8037641309159,2026-07-08,Đức Thịnh,Đức.tcb,Đức,tcb,chi,8480000,VND,Quỹ nội bộ,chuyen,quy,,,,,,chuyển quỹ tiền mặt về tài khoản công ty
txn_00050,8037641314205,2026-07-08,Thu Hương,Lan.mb,Lan,mb,thu,4730000,VND,Khách hàng thanh toán,thu,,khach_hang,,,,4699,thu tiền khách trả góp đợt cuối #4699
txn_00051,8037641316829,2026-07-08,Ngọc Mai,Đức.tcb,Đức,tcb,chi,4000000,VND,Khách hàng thanh toán,ung,hang_hoa,khach_hang,Ninh Hiệp,,,,ứng tiền mua hàng hộ khách sỉ chợ Ninh Hiệp
txn_00052,8037641321780,2026-07-09,Xuân Svl,Hương.acb,Hương,acb,chi,850000,VND,Khách hàng thanh toán,chi,sua_chua,khach_hang,,,,,chi phí sửa chữa máy móc bảo hành cho khách
txn_00053,8037641326586,2026-07-10,Đức Thịnh,Lan.mb,Lan,mb,chi,2610000,VND,Lương/Ứng lương,ung,luong,khach_hang;nhan_vien,,,,,ứng lương nhân viên kinh doanh khách lẻ
txn_00054,8037641331345,2026-07-10,Đức Thịnh,Đức.tcb,Đức,tcb,thu,110000,VND,Thưởng/Phạt,thu,phat,khach_hang,Ninh Hiệp,tháng 7,,,thu tiền phạt đi muộn tháng 7 của khách sỉ chợ Ninh Hiệp
txn_00055,8037641333506,2026-07-10,Bảo Trâm,Trâm.tpb,Trâm,tpb,thu,5960000,VND,Công nợ,thu_hoi,cong_no,khach_hang,,,Nga,,thu hồi công nợ khách c Nga
txn_00056,8037641336401,2026-07-10,Bảo Trâm,Lan.mb,Lan,mb,chi,1330000,VND,Chi phí văn phòng,thanh_toan,dien_nuoc,,,tháng 7,,,thanh toán tiền điện nước văn phòng tháng 7
txn_00057,8037641339874,2026-07-10,Đức Thịnh,Mai.stb,Mai,stb,chi,800000,VND,Ship/Vận chuyển,chi,ship,,Hà Nội,,,,chi phí vận chuyển hàng về kho Hà Nội
txn_00058,8037641347024,2026-07-10,Văn Nam,Mai.stb,Mai,stb,chi,1460000,VND,Vật tư/Sửa chữa,chi,sua_chua,,,,,,chi phí sửa xe tải giao hàng
txn_00059,8037641351220,2026-07-10,Ngọc Mai,Đức.tcb,Đức,tcb,thu,3120000,VND,Khách hàng thanh toán,thanh_toan,,khach_hang,Ninh Hiệp,,,4389,khách sỉ chợ Ninh Hiệp chuyển khoản thanh toán đợt 2 đơn #4389
txn_00060,8037641359057,2026-07-10,Xuân Svl,Đức.tcb,Đức,tcb,chi,2090000,VND,Chi phí văn phòng,thanh_toan,dien_nuoc,,,tháng 7,,,thanh toán tiền điện nước văn phòng tháng 7
txn_00061,8037641366390,2026-07-11,Thị Lan,Bảo.msb,Bảo,msb,chi,1630000,VND,Tạm ứng công tác,ung,cong_tac,,Sài Gòn;Nam Định,,Thảo Nam Định,,ứng tiền công tác Sài Gòn cho chị Thảo Nam Định
txn_00062,8037641370755,2026-07-11,Ngọc Mai,Xuân.svl,Xuân,svl,chi,13670000,VND,Chi phí văn phòng,thanh_toan,thue_kho,,,tháng 7,,,thanh toán tiền thuê kho tháng 7
txn_00063,8037641375153,2026-07-11,Xuân Svl,Hương.acb,Hương,acb,thu,13940000,VND,Khách hàng thanh toán,thu,,khach_hang,Ninh Hiệp,,,,thu tiền khách sỉ chợ Ninh Hiệp còn nợ kỳ trước
txn_00064,8037641380111,2026-07-11,Thị Lan,Lan.mb,Lan,mb,thu,1140000,VND,Khách hàng thanh toán,thanh_toan,sua_chua,,Nam Định,,Thảo Nam Định,,chị Thảo Nam Định thanh toán tiền bảo hành đệm
txn_00065,8037641387761,2026-07-11,Quốc Bảo,Mai.stb,Mai,stb,chi,710000,VND,Thưởng/Phạt,ung,thuong,,,,,,ứng trước tiền thưởng tháng cho ca kho
txn_00066,8037641390760,2026-07-11,Bảo Trâm,Nam.vcb,Nam,vcb,chi,1150000,VND,Tạm ứng công tác,,cong_tac;hoa_hong,,,tháng 7,,,chi hoa hồng cộng tác viên tháng 7
txn_00067,8037641396426,2026-07-12,Văn Nam,Tuấn.bidv,Tuấn,bidv,thu,70000,VND,Thưởng/Phạt,thu,phat,nha_cung_cap,,tháng 7,Long,,thu tiền phạt đi muộn tháng 7 của anh Long xưởng gỗ
txn_00068,8037641400196,2026-07-12,Khánh Đức,Linh.vib,Linh,vib,chi,440000,VND,Chi phí văn phòng,do_xang,xang,,,,,,đổ xăng xe tải giao hàng
txn_00069,8037641406353,2026-07-12,Khánh Đức,Trâm.tpb,Trâm,tpb,thu,7880000,VND,Công nợ,thu_hoi,cong_no,khach_hang;noi_bo,,,Yến,,thu hồi công nợ khách c Yến kế toán
txn_00070,8037641410890,2026-07-12,Minh Tuấn,Đức.tcb,Đức,tcb,thu,11180000,VND,Công nợ,thu_hoi,cong_no,khach_hang,,,Hùng,,thu hồi công nợ khách anh Hùng
txn_00071,8037641412489,2026-07-12,Thị Lan,Xuân.svl,Xuân,svl,chi,540000,VND,Tạm ứng công tác,ung,cong_tac,,Hưng Yên,,,,tạm ứng công tác phí đi Hưng Yên
txn_00072,8037641421450,2026-07-12,Bảo Trâm,Trâm.tpb,Trâm,tpb,chi,930000,VND,Tạm ứng công tác,,cong_tac;hoa_hong,,,tháng 7,,,chi hoa hồng cộng tác viên tháng 7
txn_00073,8037641429985,2026-07-13,Thu Hương,Linh.vib,Linh,vib,chi,6740000,VND,Nhà cung cấp,chi,hang_hoa,,,,Hoa,,chi trả tiền hàng cho chị Hoa
txn_00074,8037641437242,2026-07-13,Quốc Bảo,Linh.vib,Linh,vib,chi,7620000,VND,Nhà cung cấp,chi,hang_hoa,,Nam Định,,Thảo Nam Định,,chi trả tiền hàng còn nợ cho chị Thảo Nam Định
txn_00075,8037641443165,2026-07-13,Thu Hương,Đức.tcb,Đức,tcb,chi,15740000,VND,Nhà cung cấp,chi,hang_hoa,,,,Nga,,chi trả tiền hàng còn nợ cho c Nga
txn_00076,8037641446150,2026-07-13,Khánh Đức,Thịnh.vtb,Thịnh,vtb,chi,14430000,VND,Nhà cung cấp,chi,hang_hoa,,Nam Định,,Thảo Nam Định,,chi trả tiền hàng còn nợ cho chị Thảo Nam Định
txn_00077,8037641447603,2026-07-13,Bảo Trâm,Nam.vcb,Nam,vcb,thu,120000,VND,Thưởng/Phạt,thu,phat,,Hưng Yên,tháng 7,Đạt Hưng Yên,,thu tiền phạt đi muộn tháng 7 của a Đạt Hưng Yên
txn_00078,8037641451635,2026-07-14,Minh Tuấn,Trâm.tpb,Trâm,tpb,chi,250000,VND,Chi phí văn phòng,do_xang,xang,,,,,,đổ xăng xe tải giao hàng
txn_00079,8037641455027,2026-07-14,Đức Thịnh,Xuân.svl,Xuân,svl,chi,1270000,VND,Khách hàng thanh toán,chi,sua_chua,khach_hang,,,,,chi phí sửa chữa máy móc bảo hành cho khách
txn_00080,8037641457841,2026-07-14,Bảo Trâm,Đức.tcb,Đức,tcb,thu,6570000,VND,Khách hàng thanh toán,dat_coc,don_hang,,,,Nga,4154,c Nga đặt cọc đơn hàng nội thất #4154
txn_00081,8037641464291,2026-07-14,Thị Lan,Đức.tcb,Đức,tcb,chi,2060000,VND,Khách hàng thanh toán,tiep_khach,,khach_hang;doi_tac,Bình Dương,,Tùng,,tiếp khách đối tác Bình Dương cùng a Tùng
txn_00082,8037641465715,2026-07-14,Xuân Svl,Hương.acb,Hương,acb,chi,8550000,VND,Chi phí văn phòng,thanh_toan,thue_kho,,,tháng 7,,,thanh toán tiền thuê kho tháng 7
txn_00083,8037641469412,2026-07-14,Khánh Đức,Hương.acb,Hương,acb,chi,12600000,VND,Chi phí văn phòng,thanh_toan,thue_kho,,,tháng 7,,,thanh toán tiền thuê kho tháng 7
txn_00084,8037641477286,2026-07-14,Văn Nam,Bảo.msb,Bảo,msb,thu,690000,VND,Quỹ nội bộ,ung,tam_ung_du,,,,Hoa,,thu lại tiền tạm ứng dư của chị Hoa
txn_00085,8037641481728,2026-07-15,Hoàng Anh,Trâm.tpb,Trâm,tpb,thu,110000,VND,Tạm ứng công tác,hoan_ung,cong_tac,,Hải Phòng,,,,hoàn ứng tiền dư công tác Hải Phòng
txn_00086,8037641488505,2026-07-15,Thu Hương,Thịnh.vtb,Thịnh,vtb,thu,5390000,VND,Khách hàng thanh toán,dat_coc,don_hang,noi_bo,,,Yến,4154,c Yến kế toán đặt cọc đơn hàng nội thất #4154
txn_00087,8037641496853,2026-07-15,Minh Tuấn,Tuấn.bidv,Tuấn,bidv,chi,2850000,VND,Thưởng/Phạt,chi,thuong,khach_hang,,tháng 7,,,chi thưởng doanh số tháng 7 cho khách lẻ
txn_00088,8037641498365,2026-07-15,Khánh Đức,Bảo.msb,Bảo,msb,chi,350000,VND,Chi phí văn phòng,do_xang,xang,,,,,,đổ xăng xe tải giao hàng
txn_00089,8037641499722,2026-07-15,Khánh Đức,Lan.mb,Lan,mb,thu,3640000,VND,Khách hàng thanh toán,thanh_toan,,nha_cung_cap,,,Long,4237,anh Long xưởng gỗ chuyển khoản thanh toán đợt 2 đơn #4237
txn_00090,8037641508229,2026-07-15,Diệu Linh,Linh.vib,Linh,vib,chi,1000000,VND,Vật tư/Sửa chữa,mua,vat_tu;sua_chua,,,,,,mua vật tư sửa chữa máy nén khí
txn_00091,8037641512395,2026-07-16,Quốc Bảo,Đức.tcb,Đức,tcb,chi,990000,VND,Ship/Vận chuyển,chi,ship,,Hà Nội,,,,chi phí vận chuyển hàng về kho Hà Nội
txn_00092,8037641519444,2026-07-16,Thị Lan,Mai.stb,Mai,stb,chi,830000,VND,Khách hàng thanh toán,tiep_khach,,khach_hang;doi_tac,Bình Dương,,,,tiếp khách đối tác Bình Dương cùng khách lẻ
txn_00093,8037641525324,2026-07-16,Diệu Linh,Hương.acb,Hương,acb,thu,2670000,VND,Khách hàng thanh toán,thu,,khach_hang,,,,4603,thu tiền khách trả góp đợt cuối #4603
txn_00094,8037641530270,2026-07-16,Bảo Trâm,Nam.vcb,Nam,vcb,chi,9630000,VND,Chi phí văn phòng,thanh_toan,thue_kho,,,tháng 7,,,thanh toán tiền thuê kho tháng 7
txn_00095,8037641532976,2026-07-16,Bảo Trâm,Tuấn.bidv,Tuấn,bidv,thu,320000,VND,Tạm ứng công tác,hoan_ung,cong_tac,,Hải Phòng,,,,hoàn ứng tiền dư công tác Hải Phòng
txn_00096,8037641541277,2026-07-16,Ngọc Mai,Trâm.tpb,Trâm,tpb,chi,740000,VND,Tạm ứng công tác,,cong_tac;hoa_hong,,,tháng 7,,,chi hoa hồng cộng tác viên tháng 7
txn_00097,8037641544469,2026-07-16,Minh Tuấn,Linh.vib,Linh,vib,chi,2660000,VND,Thưởng/Phạt,chi,thuong,,,tháng 7,Tâm,,chi thưởng doanh số tháng 7 cho chị Tâm
txn_00098,8037641546725,2026-07-17,Thị Lan,Linh.vib,Linh,vib,thu,450000,VND,Khách hàng thanh toán,thanh_toan,sua_chua,khach_hang,,,,,khách lẻ thanh toán tiền bảo hành đệm
txn_00099,8037641549620,2026-07-17,Xuân Svl,Nam.vcb,Nam,vcb,chi,460000,VND,Vật tư/Sửa chữa,mua,vat_tu;sua_chua,,,,,,mua vật tư sửa chữa máy nén khí
txn_00100,8037641552513,2026-07-17,Thu Hương,Bảo.msb,Bảo,msb,chi,5750000,VND,Nhà cung cấp,chi,hang_hoa,,,,Tâm,,chi trả tiền hàng cho chị Tâm
txn_00101,8037641561483,2026-07-18,Đức Thịnh,Tuấn.bidv,Tuấn,bidv,chi,140000,VND,Ship/Vận chuyển,,ship,khach_hang,,,,,tiền ship COD hoàn về do khách hủy đơn
txn_00102,8037641568831,2026-07-18,Xuân Svl,Nam.vcb,Nam,vcb,chi,3900000,VND,Lương/Ứng lương,ung,luong,nhan_vien,,tháng 7,,,ứng lương tháng 7 cho nhân viên kho
txn_00103,8037641570192,2026-07-18,Quốc Bảo,Xuân.svl,Xuân,svl,chi,3290000,VND,Lương/Ứng lương,ung,luong,nhan_vien,,,Nga,,ứng lương nhân viên kinh doanh c Nga
txn_00104,8037641572708,2026-07-18,Thị Lan,Xuân.svl,Xuân,svl,thu,9840000,VND,Khách hàng thanh toán,dat_coc,don_hang,,Hưng Yên,,Đạt Hưng Yên,4084,a Đạt Hưng Yên đặt cọc đơn hàng nội thất #4084
txn_00105,8037641574538,2026-07-18,Thị Lan,Đức.tcb,Đức,tcb,thu,1820000,VND,Khách hàng thanh toán,dat_coc,don_hang,khach_hang,,,,4429,khách lẻ đặt cọc đơn hàng nội thất #4429
txn_00106,8037641578894,2026-07-18,Ngọc Mai,Bảo.msb,Bảo,msb,thu,90000,VND,Thưởng/Phạt,thu,phat,,,tháng 7,Kiên,,thu tiền phạt đi muộn tháng 7 của anh Kiên
txn_00107,8037641580043,2026-07-18,Quốc Bảo,Lan.mb,Lan,mb,chi,230000,VND,Chi phí văn phòng,do_xang,xang,,,,,,đổ xăng xe tải giao hàng
txn_00108,8037641582325,2026-07-18,Hoàng Anh,Bảo.msb,Bảo,msb,thu,7000000,VND,Khách hàng thanh toán,thanh_toan,,,,,Dũng,4367,a Dũng vận tải chuyển khoản thanh toán đợt 2 đơn #4367
txn_00109,8037641583748,2026-07-19,Thu Hương,Đức.tcb,Đức,tcb,chi,13910000,VND,Chi phí văn phòng,thanh_toan,thue_kho,,,tháng 7,,,thanh toán tiền thuê kho tháng 7
txn_00110,8037641587068,2026-07-19,Văn Nam,Bảo.msb,Bảo,msb,chi,8910000,VND,Chi phí văn phòng,thanh_toan,thue_kho,,,tháng 7,,,thanh toán tiền thuê kho tháng 7
txn_00111,8037641594927,2026-07-19,Bảo Trâm,Hương.acb,Hương,acb,chi,2550000,VND,Lương/Ứng lương,ung,luong,nhan_vien,,tháng 7,,,ứng lương tháng 7 cho nhân viên kho
txn_00112,8037641602681,2026-07-19,Khánh Đức,Trâm.tpb,Trâm,tpb,chi,430000,VND,Vật tư/Sửa chữa,mua,vat_tu;sua_chua,,,,,,mua vật tư sửa chữa máy nén khí
txn_00113,8037641605179,2026-07-19,Văn Nam,Bảo.msb,Bảo,msb,thu,1780000,VND,Khách hàng thanh toán,dat_coc,don_hang,khach_hang,,,,,thu tiền đặt cọc khách lẻ mua đệm
txn_00114,8037641608202,2026-07-19,Minh Tuấn,Xuân.svl,Xuân,svl,chi,13300000,VND,Chi phí văn phòng,thanh_toan,thue_kho,,,tháng 7,,,thanh toán tiền thuê kho tháng 7
txn_00115,8037641612935,2026-07-19,Diệu Linh,Nam.vcb,Nam,vcb,chi,220000,VND,Ship/Vận chuyển,,ship,khach_hang,,,,,tiền ship COD hoàn về do khách hủy đơn
txn_00116,8037641617595,2026-07-19,Quốc Bảo,Lan.mb,Lan,mb,chi,390000,VND,Chi phí văn phòng,do_xang,xang,,,,,,đổ xăng xe tải giao hàng
txn_00117,8037641623662,2026-07-19,Đức Thịnh,Hương.acb,Hương,acb,chi,400000,VND,Ship/Vận chuyển,chi,ship,,Hà Nội,,,,chi phí vận chuyển hàng về kho Hà Nội
txn_00118,8037641627654,2026-07-19,Đức Thịnh,Hương.acb,Hương,acb,chi,2540000,VND,Nhà cung cấp,ung,hang_hoa,,,,Tâm,,ứng tiền mua hàng hộ chị Tâm
txn_00119,8037641636208,2026-07-19,Đức Thịnh,Thịnh.vtb,Thịnh,vtb,chi,9720000,VND,Quỹ nội bộ,chuyen,quy,,,,,,chuyển quỹ tiền mặt về tài khoản công ty
txn_00120,8037641638323,2026-07-19,Hoàng Anh,Linh.vib,Linh,vib,chi,3810000,VND,Quỹ nội bộ,chuyen,quy,,,,,,chuyển quỹ tiền mặt về tài khoản công ty
txn_00121,8037641645835,2026-07-19,Thu Hương,Anh.ocb,Anh,ocb,chi,740000,VND,Thưởng/Phạt,ung,thuong,,,,,,ứng trước tiền thưởng tháng cho ca kho
txn_00122,8037641654179,2026-07-19,Quốc Bảo,Linh.vib,Linh,vib,thu,360000,VND,Khách hàng thanh toán,dat_coc,don_hang,khach_hang,,,,,thu tiền đặt cọc khách lẻ mua đệm
txn_00123,8037641660224,2026-07-20,Thị Lan,Trâm.tpb,Trâm,tpb,chi,1650000,VND,Tạm ứng công tác,ung,cong_tac,khach_hang,Sài Gòn,,,,ứng tiền công tác Sài Gòn cho khách lẻ
txn_00124,8037641668895,2026-07-20,Minh Tuấn,Tuấn.bidv,Tuấn,bidv,chi,1090000,VND,Chi phí văn phòng,thanh_toan,dien_nuoc,,,tháng 7,,,thanh toán tiền điện nước văn phòng tháng 7
txn_00125,8037641676926,2026-07-20,Quốc Bảo,Tuấn.bidv,Tuấn,bidv,chi,200000,VND,Chi phí văn phòng,mua,van_phong_pham,,,,,,chi phí mua văn phòng phẩm
txn_00126,8037641681155,2026-07-20,Đức Thịnh,Thịnh.vtb,Thịnh,vtb,thu,840000,VND,Quỹ nội bộ,ung,tam_ung_du,,,,Tâm,,thu lại tiền tạm ứng dư của chị Tâm
